case_chrs_pos,samples,case_chr_pos_mut,ID1,ID2,ID5,ID6,ID8,ID9,ID14
case10_10_1538146,case10_S2,case10_10_1538146_1:Del:C:1,0.0119534414863416,0.0001091733857104,0.0,0.0,0.0,0.987937385127948,0.0
case10_10_6528636,case10_S2,case10_10_6528636_1:Del:C:2,1.923022174097058e-15,0.000577592392119,0.0,0.0,0.0,0.999422407607879,0.0
case10_10_10293413,case10_S2,case10_10_10293413_1:Del:T:5,1.2680511380373483e-17,0.9977225469510814,0.0,0.0,0.0,0.0022774530489186,0.0
case10_10_24360973,case10_S2,case10_10_24360973_1:Ins:T:5,0.994761042765744,0.0011181351488856,0.0,0.0,0.0,0.0041208220853703,0.0
case10_10_27161206,case10_S2,case10_10_27161206_1:Ins:T:5,0.994761042765744,0.0011181351488856,0.0,0.0,0.0,0.0041208220853703,0.0
case10_10_30127379,case10_S2,case10_10_30127379_1:Del:T:0,0.0184635739267418,0.0355772540693955,0.0,0.0,0.0,0.9459591720038628,0.0
case10_10_44684039,case10_S2,case10_10_44684039_1:Del:T:5,1.2680511380373483e-17,0.9977225469510814,0.0,0.0,0.0,0.0022774530489186,0.0
case10_10_61559027,case10_S2,case10_10_61559027_1:Ins:C:5,0.8923917872535573,0.1058775459509114,0.0,0.0,0.0,0.0017306667955311,0.0
case10_10_81055761,case10_S2,case10_10_81055761_1:Del:C:0,0.00074076214196,0.0071446788402385,0.0,0.0,0.0,0.9921145590178014,0.0
case10_10_117048340,case10_S2,case10_10_117048340_2:Ins:R:0,0.3213062289568685,0.0847822087435839,0.0,0.0,0.0,0.5939115622995476,0.0
case10_10_117106124,case10_S2,case10_10_117106124_1:Ins:T:5,0.994761042765744,0.0011181351488856,0.0,0.0,0.0,0.0041208220853703,0.0
case10_10_14256643,case10_S5,case10_10_14256643_1:Ins:T:5,0.9055656332563736,0.000981573675712,0.0,0.0,0.0,0.0027352076628362,0.0907175854050779
